,activation,learning_rate,max_iters,restarts,decay_rates,max_attempts,clip,y_train_roc,y_test_roc,runtime,loss
0,relu,1,100,10,0.92,10,10,0.5195238095238095,0.5122222222222222,15.434485912322998,24.543554369536817
1,relu,1,200,10,0.92,10,10,0.5228571428571429,0.5233333333333333,22.67011857032776,24.343531623637595
2,relu,1,300,10,0.92,10,10,0.53,0.52,29.845738887786865,24.04123391228458
3,relu,1,400,10,0.92,10,10,0.5338095238095237,0.5244444444444445,30.352853059768677,23.759059818386127
4,relu,1,500,10,0.92,10,10,0.5338095238095237,0.5244444444444445,30.85136890411377,23.759059818386127
5,relu,1,600,10,0.92,10,10,0.5338095238095237,0.5244444444444445,30.83596158027649,23.759059818386127
6,relu,1,700,10,0.92,10,10,0.5338095238095237,0.5244444444444445,30.88497519493103,23.759059818386127
7,relu,1,800,10,0.92,10,10,0.5338095238095237,0.5244444444444445,30.84196376800537,23.759059818386127
8,relu,1,900,10,0.92,10,10,0.5338095238095237,0.5244444444444445,30.953988552093506,23.759059818386127
9,relu,1,1000,10,0.92,10,10,0.5338095238095237,0.5244444444444445,31.140031576156616,23.759059818386127
10,relu,1,100,10,0.92,50,10,0.5176190476190476,0.5222222222222223,19.28335475921631,24.559567916306545
11,relu,1,200,10,0.92,50,10,0.5252380952380953,0.5155555555555557,36.97134804725647,24.301663855212215
12,relu,1,300,10,0.92,50,10,0.5266666666666667,0.5222222222222223,55.02042365074158,23.96721867077692
13,relu,1,400,10,0.92,50,10,0.5333333333333334,0.5222222222222221,72.1182849407196,23.730747686626263
14,relu,1,500,10,0.92,50,10,0.5366666666666667,0.5255555555555556,84.9051718711853,23.665081779600648
15,relu,1,600,10,0.92,50,10,0.5371428571428573,0.5277777777777778,100.99880528450012,23.69801652641719
16,relu,1,700,10,0.92,50,10,0.5457142857142857,0.5311111111111111,117.69057440757751,23.198931045294017
17,relu,1,800,10,0.92,50,10,0.5428571428571428,0.5322222222222223,133.66218042373657,23.349425526407696
18,relu,1,900,10,0.92,50,10,0.5423809523809524,0.5233333333333333,149.6847984790802,23.369348562062893
19,relu,1,1000,10,0.92,50,10,0.5471428571428572,0.5333333333333333,166.00648379325867,23.186367104912154
20,relu,1,100,10,0.92,100,10,0.5176190476190476,0.5222222222222223,18.071080446243286,24.559567916306545
21,relu,1,200,10,0.92,100,10,0.5252380952380953,0.5155555555555557,35.77707815170288,24.301663855212215
22,relu,1,300,10,0.92,100,10,0.5266666666666667,0.5222222222222223,51.93425703048706,23.96721867077692
23,relu,1,400,10,0.92,100,10,0.5333333333333334,0.5222222222222221,68.83381342887878,23.730747686626263
24,relu,1,500,10,0.92,100,10,0.5366666666666667,0.5255555555555556,85.70135140419006,23.665081779600648
25,relu,1,600,10,0.92,100,10,0.5371428571428573,0.5277777777777778,102.37411618232727,23.69801652641719
26,relu,1,700,10,0.92,100,10,0.5457142857142857,0.5311111111111111,119.36895298957825,23.198931045294017
27,relu,1,800,10,0.92,100,10,0.5428571428571428,0.5322222222222223,134.5513813495636,23.349425526407696
28,relu,1,900,10,0.92,100,10,0.5423809523809524,0.5233333333333333,150.37295365333557,23.369348562062893
29,relu,1,1000,10,0.92,100,10,0.5471428571428572,0.5333333333333333,166.99870800971985,23.186367104912154
30,relu,5,100,10,0.92,10,10,0.5457142857142857,0.5366666666666666,14.761332750320435,23.15676522513534
31,relu,5,200,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.485496520996094,23.104184955122644
32,relu,5,300,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.494498491287231,23.104184955122644
33,relu,5,400,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.466492176055908,23.104184955122644
34,relu,5,500,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.444486618041992,23.104184955122644
35,relu,5,600,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.437486410140991,23.104184955122644
36,relu,5,700,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.44448709487915,23.104184955122644
37,relu,5,800,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.364469528198242,23.104184955122644
38,relu,5,900,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.390475034713745,23.104184955122644
39,relu,5,1000,10,0.92,10,10,0.5466666666666667,0.5333333333333333,15.417481422424316,23.104184955122644
40,relu,5,100,10,0.92,50,10,0.549047619047619,0.5400000000000001,17.983060359954834,23.040105553591985
41,relu,5,200,10,0.92,50,10,0.5647619047619047,0.55,34.58480954170227,22.258757456386363
42,relu,5,300,10,0.92,50,10,0.5680952380952381,0.558888888888889,50.646435499191284,22.068777980642665
43,relu,5,400,10,0.92,50,10,0.5833333333333333,0.5722222222222222,66.37498784065247,21.31342503947498
44,relu,5,500,10,0.92,50,10,0.5833333333333334,0.5422222222222223,80.1570987701416,21.15846239910775
45,relu,5,600,10,0.92,50,10,0.5885714285714285,0.5655555555555556,98.98935127258301,21.03764298266903
46,relu,5,700,10,0.92,50,10,0.5923809523809525,0.558888888888889,114.31681203842163,20.778312624466583
47,relu,5,800,10,0.92,50,10,0.6123809523809524,0.581111111111111,123.604909658432,19.86004922616557
48,relu,5,900,10,0.92,50,10,0.62,0.6177777777777778,143.03629660606384,19.487617737366538
49,relu,5,1000,10,0.92,50,10,0.63,0.5866666666666667,153.52366518974304,18.925307865090335
50,relu,5,100,10,0.92,100,10,0.549047619047619,0.5400000000000001,17.97805905342102,23.040105553591985
51,relu,5,200,10,0.92,100,10,0.5647619047619047,0.55,34.722840309143066,22.258757456386363
52,relu,5,300,10,0.92,100,10,0.5680952380952381,0.558888888888889,50.867486000061035,22.068777980642665
53,relu,5,400,10,0.92,100,10,0.5833333333333333,0.5722222222222222,67.21917772293091,21.31342503947498
54,relu,5,500,10,0.92,100,10,0.5833333333333334,0.5422222222222223,82.82370138168335,21.15846239910775
55,relu,5,600,10,0.92,100,10,0.5885714285714285,0.5655555555555556,98.99435186386108,21.03764298266903
56,relu,5,700,10,0.92,100,10,0.5923809523809525,0.558888888888889,114.63788342475891,20.778312624466583
57,relu,5,800,10,0.92,100,10,0.6090476190476191,0.6166666666666667,130.738520860672,20.002402008588312
58,relu,5,900,10,0.92,100,10,0.62,0.6177777777777778,145.98196244239807,19.487617737366538
59,relu,5,1000,10,0.92,100,10,0.6185714285714285,0.6044444444444445,160.46023201942444,19.600917000451012
60,relu,10,100,10,0.92,10,10,0.5514285714285714,0.5366666666666666,12.210756063461304,22.843686567144005
61,relu,10,200,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.702094554901123,22.345205368725587
62,relu,10,300,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.643080234527588,22.345205368725587
63,relu,10,400,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.67908787727356,22.345205368725587
64,relu,10,500,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.608073472976685,22.345205368725587
65,relu,10,600,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.63707947731018,22.345205368725587
66,relu,10,700,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.652082443237305,22.345205368725587
67,relu,10,800,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.657084226608276,22.345205368725587
68,relu,10,900,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.677087783813477,22.345205368725587
69,relu,10,1000,10,0.92,10,10,0.5619047619047619,0.5388888888888889,13.588067531585693,22.345205368725587
70,relu,10,100,10,0.92,50,10,0.5571428571428573,0.5511111111111111,17.552963495254517,22.59937973205284
71,relu,10,200,10,0.92,50,10,0.5714285714285715,0.5322222222222223,33.91265678405762,21.92326317830697
72,relu,10,300,10,0.92,50,10,0.5795238095238094,0.5677777777777778,49.84725594520569,21.48781937077092
73,relu,10,400,10,0.92,50,10,0.5876190476190477,0.5477777777777778,66.09992551803589,21.074994698729196
74,relu,10,500,10,0.92,50,10,0.6223809523809524,0.6166666666666666,82.6856701374054,19.384327668085287
75,relu,10,600,10,0.92,50,10,0.6057142857142858,0.5711111111111111,95.86664652824402,20.103283227634947
76,relu,10,700,10,0.92,50,10,0.6333333333333334,0.6122222222222223,113.62265634536743,18.729401076750207
77,relu,10,800,10,0.92,50,10,0.6457142857142857,0.6344444444444445,126.1904935836792,18.29237674773399
78,relu,10,900,10,0.92,50,10,0.6528571428571428,0.6311111111111111,135.0514943599701,17.98483979764334
79,relu,10,1000,10,0.92,50,10,0.6814285714285714,0.6722222222222222,158.81485986709595,16.31668243204316
80,relu,10,100,10,0.92,100,10,0.5571428571428573,0.5511111111111111,17.557964086532593,22.59937973205284
81,relu,10,200,10,0.92,100,10,0.5714285714285715,0.5322222222222223,33.83063864707947,21.92326317830697
82,relu,10,300,10,0.92,100,10,0.5795238095238094,0.5677777777777778,50.142322063446045,21.48781937077092
83,relu,10,400,10,0.92,100,10,0.5876190476190477,0.5477777777777778,66.12993240356445,21.074994698729196
84,relu,10,500,10,0.92,100,10,0.6223809523809524,0.6166666666666666,82.56364274024963,19.384327668085287
85,relu,10,600,10,0.92,100,10,0.6133333333333334,0.5866666666666667,97.35198187828064,19.817734423354054
86,relu,10,700,10,0.92,100,10,0.6333333333333334,0.6122222222222223,113.52963471412659,18.729401076750207
87,relu,10,800,10,0.92,100,10,0.6457142857142857,0.6344444444444445,129.20217370986938,18.29237674773399
88,relu,10,900,10,0.92,100,10,0.629047619047619,0.6033333333333334,144.00451612472534,19.06090316230973
89,relu,10,1000,10,0.92,100,10,0.6514285714285715,0.6388888888888888,159.20794892311096,17.972281852726226
